speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,speakerXsessionid,procedural_prob,cluster_5,cluster_2,cluster_4,cluster_1,cluster_3,cluster_14,cluster_0,cluster_6,cluster_11,cluster_13,cluster_9,cluster_18,cluster_16,cluster_8,cluster_12,cluster_19,cluster_15,cluster_17,cluster_10,cluster_7,cluster_5_p,cluster_2_p,cluster_4_p,cluster_1_p,cluster_3_p,cluster_14_p,cluster_0_p,cluster_6_p,cluster_11_p,cluster_13_p,cluster_9_p,cluster_18_p,cluster_16_p,cluster_8_p,cluster_12_p,cluster_19_p,cluster_15_p,cluster_17_p,cluster_10_p,cluster_7_p,n
4162,430094652,MORRILL,LOT,S,ME,M,R,,voting,18750202,1813-05-03,1813,1875,62,43041621,0.0,0,2,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.2,0.0,0.1,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4342,430101340,SARGENT,AARON,S,CA,M,R,,voting,18750217,1827-09-28,1827,1875,48,43043421,0.0,0,0,1,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.05,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
4653,430115101,SAYLER,MILTON,H,OH,M,D,1.0,voting,18750302,1831-11-04,1831,1875,44,43046530,0.0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4879,440005705,LYNCH,JOHN,H,MS,M,R,6.0,voting,18760121,1847-09-10,1847,1876,29,44048790,0.0,0,0,0,0,1,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,0.0,0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4544,440008803,WOODWORTH,LAURIN,H,OH,M,R,17.0,voting,18760202,1837-09-10,1837,1876,39,44045440,0.0,0,0,0,3,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.3,0.1,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4903,440032718,PAGE,HORACE,H,CA,M,R,2.0,voting,18760419,1833-10-20,1833,1876,43,44049030,0.0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4541,440032788,WILSHIRE,WILLIAM,H,AR,M,D,3.0,voting,18760419,1830-09-08,1830,1876,46,44045410,0.0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4225,440078995,BOGY,LEWIS,S,MO,M,D,,voting,18760814,1813-04-09,1813,1876,63,44042251,0.0,1,1,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
4225,440078997,BOGY,LEWIS,S,MO,M,D,,voting,18760814,1813-04-09,1813,1876,63,44042251,0.0030972728055805,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4840,440089576,FINLEY,JESSE,H,FL,M,D,2.0,voting,18770111,1812-11-18,1812,1877,65,44048400,0.0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
4871,440091585,KNOTT,JAMES,H,KY,M,D,4.0,voting,18770118,1830-08-29,1830,1877,47,44048710,0.0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4885,440093085,MCDILL,JAMES,H,IA,M,R,8.0,voting,18770124,1834-03-04,1834,1877,43,44048850,0.0,0,1,1,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1,0.1,0.0,0.1,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4871,440093713,KNOTT,JAMES,H,KY,M,D,4.0,voting,18770126,1830-08-29,1830,1877,47,44048710,0.0,0,0,0,0,2,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0.0,0.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4883,440107564,MAXEY,SAMUEL,S,TX,M,D,,voting,18770224,1825-03-30,1825,1877,52,44048831,0.0,1,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.1,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5482,450034571,PLUMB,PRESTON,S,KS,M,R,,voting,18780312,1837-10-12,1837,1878,41,45054821,0.0,3,1,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.1,0.0,0.0,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4610,450040239,HILL,BENJAMIN,S,GA,M,D,,voting,18780327,1823-09-14,1823,1878,55,45046101,0.0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5391,450041585,COKE,RICHARD,S,TX,M,D,,voting,18780401,1829-03-13,1829,1878,49,45053911,0.0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6042,450048204,MCKINLEY,WILLIAM,H,OH,M,R,17.0,voting,18780415,1843-01-29,1843,1878,35,45060420,0.0,0,2,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.2,0.0,0.0,0.1,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5399,450051466,COX,SAMUEL,H,NY,M,D,6.0,voting,18780422,1824-09-30,1824,1878,54,45053990,0.0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4635,450068174,PHILLIPS,WILLIAM,H,KS,M,R,1.0,voting,18780523,1824-01-14,1824,1878,54,45046350,0.0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4595,450070642,GARDNER,MILLS,H,OH,M,R,3.0,voting,18780527,1830-01-30,1830,1878,48,45045950,0.0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4417,450087993,BURNSIDE,AMBROSE,S,RI,M,R,,voting,18780615,1824-05-23,1824,1878,54,45044171,0.0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4417,450088011,BURNSIDE,AMBROSE,S,RI,M,R,,voting,18780615,1824-05-23,1824,1878,54,45044171,0.0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6806,450096598,KEIFER,JOSEPH,H,OH,M,R,8.0,voting,18781213,1836-01-30,1836,1878,42,45068060,0.0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4725,450113108,FELTON,WILLIAM,H,GA,M,I,7.0,voting,18790214,1823-06-19,1823,1879,56,45047250,0.0,0,0,1,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5367,450132524,BECK,JAMES,S,KY,M,D,,voting,18790303,1822-02-13,1822,1879,57,45053671,0.0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4807,450134758,ATKINS,JOHN,H,TN,M,D,8.0,voting,18790303,1825-06-04,1825,1879,54,45048070,0.0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4962,460002870,BRENTS,THOMAS,H,WA,M,R,-1.0,nonvoting,18790401,1840-12-24,1840,1879,39,46049620,0.0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5325,460003305,REAGAN,JOHN,H,TX,M,D,1.0,voting,18790403,1818-10-08,1818,1879,61,46053250,0.0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5221,460003514,TUCKER,JOHN,H,VA,M,D,6.0,voting,18790404,1823-12-24,1823,1879,56,46052210,0.0,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.05,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
4721,460003534,ELAM,JOSEPH,H,LA,M,D,4.0,voting,18790404,1821-06-12,1821,1879,58,46047210,0.0,1,1,3,3,1,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0.15,0.15,0.05,0.0,0.45,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
6327,460007378,HOAR,GEORGE,S,MA,M,R,,voting,18790416,1826-08-29,1826,1879,53,46063271,0.0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5670,460007817,VOORHEES,DANIEL,S,IN,M,D,,voting,18790417,1827-09-26,1827,1879,52,46056701,0.0,0,1,4,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1,0.4,0.0,0.0,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5207,460008190,SINGLETON,OTHO,H,MS,M,D,4.0,voting,18790418,1814-10-14,1814,1879,65,46052070,0.0,0,1,1,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.05,0.05,0.0,0.0,0.0,0.85,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
5146,460009226,GEDDES,GEORGE,H,OH,M,D,15.0,voting,18790422,1824-07-16,1824,1879,55,46051460,0.0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5366,460009245,BAYNE,THOMAS,H,PA,M,R,23.0,voting,18790422,1836-06-14,1836,1879,43,46053660,0.0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4934,460009872,UPDEGRAFF,JONATHAN,H,OH,M,R,18.0,voting,18790423,1822-05-13,1822,1879,57,46049340,0.0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4711,460009948,CONKLING,ROSCOE,S,NY,M,R,,voting,18790424,1829-10-30,1829,1879,50,46047111,0.0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5670,460009988,VOORHEES,DANIEL,S,IN,M,D,,voting,18790424,1827-09-26,1827,1879,52,46056701,0.0,2,1,0,3,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0.2,0.1,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4731,460010264,GILLETTE,EDWARD,H,IA,M,N,7.0,voting,18790424,1840-10-01,1840,1879,39,46047310,0.0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5412,460010285,DUNNELL,MARK,H,MN,M,R,1.0,voting,18790424,1823-07-02,1823,1879,56,46054120,0.0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4721,460010392,ELAM,JOSEPH,H,LA,M,D,4.0,voting,18790424,1821-06-12,1821,1879,58,46047210,0.0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4702,460012962,CARPENTER,MATTHEW,S,WI,M,R,,voting,18790506,1824-12-22,1824,1879,55,46047021,0.0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5391,460015328,COKE,RICHARD,S,TX,M,D,,voting,18790512,1829-03-13,1829,1879,50,46053911,0.0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4528,460024953,WALLACE,WILLIAM,S,PA,M,D,,voting,18790529,1827-11-28,1827,1879,52,46045281,0.0,0,3,3,0,4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1,0.1,0.0,0.13333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
6495,460027829,TELLER,HENRY,S,CO,M,R,,voting,18790609,1830-05-23,1830,1879,49,46064951,0.0,0,1,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1,0.0,0.1,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5670,460032802,VOORHEES,DANIEL,S,IN,M,D,,voting,18790617,1827-09-26,1827,1879,52,46056701,0.0,2,0,0,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.0,0.0,0.2,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5367,460033551,BECK,JAMES,S,KY,M,D,,voting,18790618,1822-02-13,1822,1879,57,46053671,0.0,0,1,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1,0.0,0.0,0.1,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5019,460040671,HURD,FRANK,H,OH,M,D,7.0,voting,18790627,1840-12-25,1840,1879,39,46050190,0.0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5076,460044383,SMITH,ABRAHAM,H,PA,M,R,9.0,voting,18791212,1815-03-07,1815,1879,64,46050760,0.0,0,0,1,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.0,0.1,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5102,460060070,YOUNG,HIRAM,H,TN,M,D,10.0,voting,18800227,1828-12-14,1828,1880,52,46051020,0.0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4912,460064262,RICHARDSON,DAVID,H,NY,M,R,29.0,voting,18800310,1833-05-28,1833,1880,47,46049120,0.0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4842,460076262,FORD,NICHOLAS,H,MO,M,N,9.0,voting,18800403,1833-06-21,1833,1880,47,46048420,0.0,1,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.1,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6220,460079545,HAWLEY,JOSEPH,H,CT,M,R,1.0,voting,18800410,1826-10-31,1826,1880,54,46062200,0.0,1,1,2,1,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0.1,0.05,0.05,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
5069,460101205,SAULSBURY,ELI,S,DE,M,D,,voting,18800518,1817-12-29,1817,1880,63,46050691,0.0,2,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.05,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
4943,460125611,WILLITS,EDWIN,H,MI,M,R,2.0,voting,18801208,1830-04-24,1830,1880,50,46049430,0.0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5697,470004318,BLAIR,HENRY,S,NH,M,R,,voting,18810407,1834-12-06,1834,1881,47,47056971,0.0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5379,470005992,BUTLER,MATTHEW,S,SC,M,D,,voting,18810420,1836-03-08,1836,1881,45,47053791,0.0,0,1,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1,0.0,0.0,0.2,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6327,470018450,HOAR,GEORGE,S,MA,M,R,,voting,18820201,1826-08-29,1826,1882,56,47063271,0.0,1,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.2,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5391,470021456,COKE,RICHARD,S,TX,M,D,,voting,18820207,1829-03-13,1829,1882,53,47053911,0.0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4883,470022612,MAXEY,SAMUEL,S,TX,M,D,,voting,18820210,1825-03-30,1825,1882,57,47048831,0.0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6159,470024086,VEST,GEORGE,S,MO,M,D,,voting,18820215,1830-12-06,1830,1882,52,47061591,0.0,2,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.0,0.0,0.0,0.1,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
