speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,speakerXsessionid,procedural_prob,cluster_2,cluster_10,cluster_3,cluster_5,cluster_4,cluster_9,cluster_7,cluster_1,cluster_0,cluster_8,cluster_6,cluster_2_p,cluster_10_p,cluster_3_p,cluster_5_p,cluster_4_p,cluster_9_p,cluster_7_p,cluster_1_p,cluster_0_p,cluster_8_p,cluster_6_p,n
7833,520097908,WARREN,FRANCIS,S,WY,M,R,,voting,18920721,1844-06-20,1844,1892,48,52078331,0.0,5,0,5,0,0,0,0,0,0,0,0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6388,530038016,TALBERT,WILLIAM,H,SC,M,D,2.0,voting,18931214,1846-10-06,1846,1893,47,53063880,0.0,6,0,4,0,0,0,0,0,0,0,0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5410,530076957,DOLPH,JOSEPH,S,OR,M,R,,voting,18940320,1835-10-19,1835,1894,59,53054101,0.0,7,0,3,0,0,0,0,0,0,0,0,0.7,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5410,530110313,DOLPH,JOSEPH,S,OR,M,R,,voting,18940519,1835-10-19,1835,1894,59,53054101,0.0,4,0,6,0,0,0,0,0,0,0,0,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6040,540133262,BROWN,ARTHUR,S,UT,M,R,,voting,18970223,1843-03-08,1843,1897,54,54060401,9.973722280171271e-12,5,0,1,0,2,2,0,0,0,0,0,0.5,0.0,0.1,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,10
6040,540133335,BROWN,ARTHUR,S,UT,M,R,,voting,18970223,1843-03-08,1843,1897,54,54060401,0.0,5,0,11,0,3,1,0,0,0,0,0,0.25,0.0,0.55,0.0,0.15,0.05,0.0,0.0,0.0,0.0,0.0,20
6282,550013841,BELL,JOHN,H,CO,M,P,2.0,voting,18970510,1851-12-11,1851,1897,46,55062820,0.0,0,2,0,0,5,0,1,1,1,0,0,0.0,0.2,0.0,0.0,0.5,0.0,0.1,0.1,0.1,0.0,0.0,10
6344,550017560,MCRAE,THOMAS,H,AR,M,D,3.0,voting,18970520,1851-12-21,1851,1897,46,55063440,0.0,14,1,5,0,0,0,0,0,0,0,0,0.7,0.05,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
6553,550102336,GROSVENOR,CHARLES,H,OH,M,R,11.0,voting,18980418,1833-09-20,1833,1898,65,55065530,0.0,13,1,0,0,1,0,3,1,0,1,0,0.65,0.05,0.0,0.0,0.05,0.0,0.15,0.05,0.0,0.05,0.0,20
6282,550102383,BELL,JOHN,H,CO,M,P,2.0,voting,18980418,1851-12-11,1851,1898,47,55062820,0.0,14,0,2,1,1,2,0,0,0,0,0,0.7,0.0,0.1,0.05,0.05,0.1,0.0,0.0,0.0,0.0,0.0,20
6282,550102388,BELL,JOHN,H,CO,M,P,2.0,voting,18980418,1851-12-11,1851,1898,47,55062820,0.0,0,0,0,0,9,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.0,10
6530,560037875,CARTER,THOMAS,S,MT,M,R,,voting,19000327,1854-10-30,1854,1900,46,56065301,0.0,2,0,2,0,0,5,1,0,0,0,0,0.2,0.0,0.2,0.0,0.0,0.5,0.1,0.0,0.0,0.0,0.0,10
6842,560038535,PERKINS,GEORGE,S,CA,M,R,,voting,19000328,1839-08-23,1839,1900,61,56068421,0.0,7,0,3,0,0,0,0,0,0,0,0,0.7,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6530,560044007,CARTER,THOMAS,S,MT,M,R,,voting,19000404,1854-10-30,1854,1900,46,56065301,0.0,7,0,2,0,0,0,0,1,0,0,0,0.7,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,10
6447,560046986,HANSBROUGH,HENRY,S,ND,M,R,,voting,19000409,1848-01-30,1848,1900,52,56064471,0.0,5,0,3,0,0,0,1,0,1,0,0,0.5,0.0,0.3,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,10
6493,560051169,SPOONER,JOHN,S,WI,M,R,,voting,19000417,1843-01-06,1843,1900,57,56064931,0.0,8,0,9,0,1,0,0,2,0,0,0,0.4,0.0,0.45,0.0,0.05,0.0,0.0,0.1,0.0,0.0,0.0,20
6493,560051188,SPOONER,JOHN,S,WI,M,R,,voting,19000417,1843-01-06,1843,1900,57,56064931,0.0,1,0,1,0,0,0,0,8,0,0,0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,10
6530,560051189,CARTER,THOMAS,S,MT,M,R,,voting,19000417,1854-10-30,1854,1900,46,56065301,0.0,9,0,1,0,0,0,0,0,0,0,0,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6262,560051195,STEWART,WILLIAM,S,NV,M,R,,voting,19000417,1827-08-09,1827,1900,73,56062621,0.0,22,1,6,0,0,0,0,1,0,0,0,0.7333333333333333,0.03333333333333333,0.2,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,30
6530,560051196,CARTER,THOMAS,S,MT,M,R,,voting,19000417,1854-10-30,1854,1900,46,56065301,7.113696038709638e-15,5,0,4,0,0,0,1,0,0,0,0,0.5,0.0,0.4,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,10
6262,560051859,STEWART,WILLIAM,S,NV,M,R,,voting,19000418,1827-08-09,1827,1900,73,56062621,0.0,9,0,1,0,0,0,0,0,0,0,0,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6262,560051871,STEWART,WILLIAM,S,NV,M,R,,voting,19000418,1827-08-09,1827,1900,73,56062621,0.0,8,0,4,0,0,0,7,1,0,0,0,0.4,0.0,0.2,0.0,0.0,0.0,0.35,0.05,0.0,0.0,0.0,20
6262,560051875,STEWART,WILLIAM,S,NV,M,R,,voting,19000418,1827-08-09,1827,1900,73,56062621,0.0,7,0,3,0,0,0,0,0,0,0,0,0.7,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6262,560051883,STEWART,WILLIAM,S,NV,M,R,,voting,19000418,1827-08-09,1827,1900,73,56062621,0.0,18,1,7,1,0,2,1,0,0,0,0,0.6,0.03333333333333333,0.23333333333333334,0.03333333333333333,0.0,0.06666666666666667,0.03333333333333333,0.0,0.0,0.0,0.0,30
6262,560051885,STEWART,WILLIAM,S,NV,M,R,,voting,19000418,1827-08-09,1827,1900,73,56062621,0.0,10,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6530,560051939,CARTER,THOMAS,S,MT,M,R,,voting,19000418,1854-10-30,1854,1900,46,56065301,0.0,31,3,5,0,0,0,0,1,0,0,0,0.775,0.075,0.125,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,40
6495,560051949,TELLER,HENRY,S,CO,M,D,,voting,19000418,1830-05-23,1830,1900,70,56064951,0.0,10,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6530,560051952,CARTER,THOMAS,S,MT,M,R,,voting,19000418,1854-10-30,1854,1900,46,56065301,0.0040491881899922,6,0,3,0,0,0,0,1,0,0,0,0.6,0.0,0.3,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,10
6495,560051953,TELLER,HENRY,S,CO,M,D,,voting,19000418,1830-05-23,1830,1900,70,56064951,0.0,2,1,6,0,0,0,0,0,1,0,0,0.2,0.1,0.6,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,10
6530,560053097,CARTER,THOMAS,S,MT,M,R,,voting,19000419,1854-10-30,1854,1900,46,56065301,0.0,10,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6530,560053103,CARTER,THOMAS,S,MT,M,R,,voting,19000419,1854-10-30,1854,1900,46,56065301,0.0,6,0,1,0,0,0,0,3,0,0,0,0.6,0.0,0.1,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,10
6262,560053127,STEWART,WILLIAM,S,NV,M,R,,voting,19000419,1827-08-09,1827,1900,73,56062621,0.0,10,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6493,560053128,SPOONER,JOHN,S,WI,M,R,,voting,19000419,1843-01-06,1843,1900,57,56064931,0.0,22,0,5,0,0,0,1,1,0,1,0,0.7333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.0,0.03333333333333333,0.0,30
6493,560053132,SPOONER,JOHN,S,WI,M,R,,voting,19000419,1843-01-06,1843,1900,57,56064931,0.0,10,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6530,560053137,CARTER,THOMAS,S,MT,M,R,,voting,19000419,1854-10-30,1854,1900,46,56065301,0.0,11,1,1,0,0,0,0,7,0,0,0,0.55,0.05,0.05,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,20
6530,560053139,CARTER,THOMAS,S,MT,M,R,,voting,19000419,1854-10-30,1854,1900,46,56065301,0.0,8,0,1,0,0,0,0,1,0,0,0,0.8,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,10
6493,560053151,SPOONER,JOHN,S,WI,M,R,,voting,19000419,1843-01-06,1843,1900,57,56064931,0.0,8,0,1,0,0,0,0,1,0,0,0,0.8,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,10
6182,560054359,BATE,WILLIAM,S,TN,M,D,,voting,19000420,1826-10-07,1826,1900,74,56061821,0.0,22,0,8,0,0,0,0,0,0,0,0,0.7333333333333333,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
6447,560054363,HANSBROUGH,HENRY,S,ND,M,R,,voting,19000420,1848-01-30,1848,1900,52,56064471,5.216867671021096e-05,1,0,0,2,0,7,0,0,0,0,0,0.1,0.0,0.0,0.2,0.0,0.7,0.0,0.0,0.0,0.0,0.0,10
6182,560054368,BATE,WILLIAM,S,TN,M,D,,voting,19000420,1826-10-07,1826,1900,74,56061821,0.0,10,0,2,0,0,0,7,1,0,0,0,0.5,0.0,0.1,0.0,0.0,0.0,0.35,0.05,0.0,0.0,0.0,20
6182,560054370,BATE,WILLIAM,S,TN,M,D,,voting,19000420,1826-10-07,1826,1900,74,56061821,0.0,10,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6136,560054374,RAWLINS,JOSEPH,S,UT,M,D,,voting,19000420,1850-03-28,1850,1900,50,56061361,0.0,9,0,1,0,0,0,0,0,0,0,0,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6136,560058993,RAWLINS,JOSEPH,S,UT,M,D,,voting,19000427,1850-03-28,1850,1900,50,56061361,0.0,6,0,2,0,0,0,1,0,1,0,0,0.6,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,10
6495,560059002,TELLER,HENRY,S,CO,M,D,,voting,19000427,1830-05-23,1830,1900,70,56064951,0.0,9,0,1,0,0,0,0,0,0,0,0,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6262,560059015,STEWART,WILLIAM,S,NV,M,R,,voting,19000427,1827-08-09,1827,1900,73,56062621,0.0544024057573353,2,0,1,0,7,0,0,0,0,0,0,0.2,0.0,0.1,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,10
6136,560059022,RAWLINS,JOSEPH,S,UT,M,D,,voting,19000427,1850-03-28,1850,1900,50,56061361,0.0,5,0,1,0,1,0,2,0,1,0,0,0.5,0.0,0.1,0.0,0.1,0.0,0.2,0.0,0.1,0.0,0.0,10
6262,560060407,STEWART,WILLIAM,S,NV,M,R,,voting,19000430,1827-08-09,1827,1900,73,56062621,0.0,12,1,7,0,0,0,0,0,0,0,0,0.6,0.05,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
6156,560060410,TURNER,GEORGE,S,WA,M,D,,voting,19000430,1850-02-25,1850,1900,50,56061561,5.223223018084004e-13,9,0,0,0,0,1,0,0,0,0,0,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,10
6447,560060515,HANSBROUGH,HENRY,S,ND,M,R,,voting,19000430,1848-01-30,1848,1900,52,56064471,0.0,8,0,1,0,0,0,0,1,0,0,0,0.8,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,10
6447,560060519,HANSBROUGH,HENRY,S,ND,M,R,,voting,19000430,1848-01-30,1848,1900,52,56064471,0.0,37,0,1,0,0,0,0,2,0,0,0,0.925,0.0,0.025,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,40
6447,560060521,HANSBROUGH,HENRY,S,ND,M,R,,voting,19000430,1848-01-30,1848,1900,52,56064471,0.0,12,2,4,0,0,0,1,0,0,1,0,0.6,0.1,0.2,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.0,20
6447,560060529,HANSBROUGH,HENRY,S,ND,M,R,,voting,19000430,1848-01-30,1848,1900,52,56064471,3.2301809743818843e-16,10,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6447,560060531,HANSBROUGH,HENRY,S,ND,M,R,,voting,19000430,1848-01-30,1848,1900,52,56064471,0.0,36,5,0,1,0,0,1,5,1,1,0,0.72,0.1,0.0,0.02,0.0,0.0,0.02,0.1,0.02,0.02,0.0,50
6256,560060552,ROSS,JONATHAN,S,VT,M,R,,voting,19000430,1826-04-30,1826,1900,74,56062561,0.0,22,3,4,0,0,0,0,0,1,0,0,0.7333333333333333,0.1,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,30
7210,560076560,LLOYD,JAMES,H,MO,M,D,1.0,voting,19000522,1857-08-28,1857,1900,43,56072100,0.0,2,0,8,0,0,0,0,0,0,0,0,0.2,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6503,560076619,WARNER,VESPASIAN,H,IL,M,R,13.0,voting,19000522,1842-04-23,1842,1900,58,56065030,0.0,8,1,0,1,0,0,0,0,0,0,0,0.8,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
7621,560076643,MONDELL,FRANKLIN,H,WY,M,R,0.0,voting,19000522,1860-11-06,1860,1900,40,56076210,0.0,2,1,2,0,0,5,0,0,0,0,0,0.2,0.1,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,10
6536,560076650,DAYTON,ALSTON,H,WV,M,R,2.0,voting,19000522,1857-10-18,1857,1900,43,56065360,6.27382961436344e-08,8,0,1,0,0,0,0,1,0,0,0,0.8,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,10
8450,560076653,KING,WILLIAM,H,UT,M,D,1.0,voting,19000522,1863-06-03,1863,1900,37,56084500,0.0,22,0,5,0,0,0,3,0,0,0,0,0.7333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,30
7123,560114714,SHAFROTH,JOHN,H,CO,M,S,1.0,voting,19010122,1854-06-09,1854,1901,47,56071230,0.0,6,0,4,0,0,0,0,0,0,0,0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
7123,560114718,SHAFROTH,JOHN,H,CO,M,S,1.0,voting,19010122,1854-06-09,1854,1901,47,56071230,0.0,10,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
7123,560114726,SHAFROTH,JOHN,H,CO,M,S,1.0,voting,19010122,1854-06-09,1854,1901,47,56071230,0.0,7,2,0,0,0,0,1,0,0,0,0,0.7,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,10
6262,560146414,STEWART,WILLIAM,S,NV,M,R,,voting,19010226,1827-08-09,1827,1901,74,56062621,0.0,8,0,0,0,1,0,1,0,0,0,0,0.8,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,10
6262,570011133,STEWART,WILLIAM,S,NV,M,R,,voting,19020205,1827-08-09,1827,1902,75,57062621,0.0,3,1,6,0,0,0,0,0,0,0,0,0.3,0.1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6317,580048552,GIBSON,PARIS,S,MT,M,D,,voting,19040324,1830-07-01,1830,1904,74,58063171,0.0,3,0,6,0,0,0,0,1,0,0,0,0.3,0.0,0.6,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,10
6522,580068366,BROOKS,FRANKLIN,H,CO,M,R,-1.0,voting,19040420,1860-11-19,1860,1904,44,58065220,0.0,8,0,0,0,0,2,0,0,0,0,0,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,10
6793,580079224,HEYBURN,WELDON,S,ID,M,R,,voting,19041215,1852-05-23,1852,1904,52,58067931,0.0,56,3,21,2,0,1,10,1,0,6,0,0.56,0.03,0.21,0.02,0.0,0.01,0.1,0.01,0.0,0.06,0.0,100
6334,580079239,KEARNS,THOMAS,S,UT,M,R,,voting,19041215,1862-04-11,1862,1904,42,58063341,0.0,5,0,5,0,0,0,0,0,0,0,0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6793,580079244,HEYBURN,WELDON,S,ID,M,R,,voting,19041215,1852-05-23,1852,1904,52,58067931,0.0,13,0,2,1,2,0,1,0,0,1,0,0.65,0.0,0.1,0.05,0.1,0.0,0.05,0.0,0.0,0.05,0.0,20
6569,580106422,LACEY,JOHN,H,IA,M,R,6.0,voting,19050216,1841-05-30,1841,1905,64,58065690,1.479709473607394e-05,2,0,1,1,0,5,1,0,0,0,0,0.2,0.0,0.1,0.1,0.0,0.5,0.1,0.0,0.0,0.0,0.0,10
7413,590032337,CLARK,JAMES,H,MO,M,D,9.0,voting,19060223,1850-03-07,1850,1906,56,59074130,4.00281278558488e-09,7,0,2,0,0,0,0,0,1,0,0,0.7,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,10
6978,590065210,SMITH,SYLVESTER,H,CA,M,R,8.0,voting,19060417,1858-08-26,1858,1906,48,59069780,0.0,5,0,0,0,1,4,0,0,0,0,0,0.5,0.0,0.0,0.0,0.1,0.4,0.0,0.0,0.0,0.0,0.0,10
7301,590065301,FITZGERALD,JOHN,H,NY,M,D,7.0,voting,19060417,1872-03-10,1872,1906,34,59073010,3.3217475540753644e-12,8,0,2,0,0,0,0,0,0,0,0,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6978,590065302,SMITH,SYLVESTER,H,CA,M,R,8.0,voting,19060417,1858-08-26,1858,1906,48,59069780,3.538166051273016e-11,1,0,2,0,7,0,0,0,0,0,0,0.1,0.0,0.2,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,10
6793,590149615,HEYBURN,WELDON,S,ID,M,R,,voting,19070131,1852-05-23,1852,1907,55,59067931,0.0,1,1,8,0,0,0,0,0,0,0,0,0.1,0.1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6635,590171625,BONYNGE,ROBERT,H,CO,M,R,1.0,voting,19070222,1863-09-08,1863,1907,44,59066350,0.0,13,2,13,0,2,0,0,2,0,8,0,0.325,0.05,0.325,0.0,0.05,0.0,0.0,0.05,0.0,0.2,0.0,40
6983,600001163,SUTHERLAND,GEORGE,S,UT,M,R,,voting,19071218,1862-03-25,1862,1907,45,60069831,0.0,9,0,0,0,0,0,1,0,0,0,0,0.9,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,10
7621,600060292,MONDELL,FRANKLIN,H,WY,M,R,0.0,voting,19080421,1860-11-06,1860,1908,48,60076210,0.0,2,1,0,0,7,0,0,0,0,0,0,0.2,0.1,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,10
