speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,speakerXsessionid,procedural_prob,cluster_0,cluster_1,cluster_4,cluster_2,cluster_5,cluster_6,cluster_14,cluster_15,cluster_18,cluster_9,cluster_17,cluster_10,cluster_8,cluster_16,cluster_13,cluster_19,cluster_20,cluster_21,cluster_11,cluster_3,cluster_12,cluster_7,cluster_0_p,cluster_1_p,cluster_4_p,cluster_2_p,cluster_5_p,cluster_6_p,cluster_14_p,cluster_15_p,cluster_18_p,cluster_9_p,cluster_17_p,cluster_10_p,cluster_8_p,cluster_16_p,cluster_13_p,cluster_19_p,cluster_20_p,cluster_21_p,cluster_11_p,cluster_3_p,cluster_12_p,cluster_7_p,n
6710,570120961,OVERSTREET,JESSE,H,IN,M,R,7.0,voting,19030214,1859-12-14,1859,1903,44,57067100,0.0,7,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
7492,620006756,SAUNDERS,EDWARD,H,VA,M,D,5.0,voting,19110427,1860-10-20,1860,1911,51,62074920,0.0,7,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.7,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
7308,620238055,GARDNER,AUGUSTUS,H,MA,M,R,6.0,voting,19120809,1865-11-05,1865,1912,47,62073080,0.0,1,6,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.6,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
7308,620238061,GARDNER,AUGUSTUS,H,MA,M,R,6.0,voting,19120809,1865-11-05,1865,1912,47,62073080,0.0,6,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
7100,630010048,MURDOCK,VICTOR,H,KS,M,R,8.0,voting,19130501,1871-03-18,1871,1913,42,63071000,0.0,4,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.1,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
7319,630147356,HELGESEN,HENRY,H,ND,M,R,1.0,voting,19140216,1857-06-26,1857,1914,57,63073190,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
7021,630212316,BRYAN,JAMES,H,WA,M,P,-1.0,voting,19140429,1874-03-11,1874,1914,40,63070210,0.0,2,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.6,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
7910,630225813,SMOOT,REED,S,UT,M,R,,voting,19140514,1862-01-10,1862,1914,52,63079101,6.5853117424076065e-22,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
7910,630225863,SMOOT,REED,S,UT,M,R,,voting,19140514,1862-01-10,1862,1914,52,63079101,0.0,0,1,1,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.1,0.1,0.0,0.0,0.1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
7308,630239336,GARDNER,AUGUSTUS,H,MA,M,R,6.0,voting,19140528,1865-11-05,1865,1914,49,63073080,0.0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
8323,630440556,KELLY,MELVILLE,H,PA,M,R,30.0,voting,19150218,1883-08-04,1883,1915,32,63083230,0.0,2,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
8215,640033604,STAFFORD,WILLIAM,H,WI,M,R,5.0,voting,19160219,1869-10-12,1869,1916,47,64082150,0.0,2,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.0,0.0,0.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
7495,640036289,SHIELDS,JOHN,S,TN,M,D,,voting,19160223,1858-08-15,1858,1916,58,64074951,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
8233,640040951,WALSH,THOMAS,S,MT,M,D,,voting,19160228,1859-06-12,1859,1916,57,64082331,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
7495,640042350,SHIELDS,JOHN,S,TN,M,D,,voting,19160229,1858-08-15,1858,1916,58,64074951,0.0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
8233,640042576,WALSH,THOMAS,S,MT,M,D,,voting,19160229,1859-06-12,1859,1916,57,64082331,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
7200,640047649,HUSTING,PAUL,S,WI,M,D,,voting,19160306,1866-04-25,1866,1916,50,64072001,0.0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
7345,640053561,MYERS,HENRY,S,MT,M,D,,voting,19160313,1862-10-09,1862,1916,54,64073451,0.0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
8388,640055491,ASHURST,HENRY,S,AZ,M,D,,voting,19160315,1874-09-13,1874,1916,42,64083881,0.0,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9333333333333333,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
8388,640055495,ASHURST,HENRY,S,AZ,M,D,,voting,19160315,1874-09-13,1874,1916,42,64083881,0.0,7,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.7,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
8388,640055503,ASHURST,HENRY,S,AZ,M,D,,voting,19160315,1874-09-13,1874,1916,42,64083881,0.0,3,1,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.1,0.2,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
8388,640055544,ASHURST,HENRY,S,AZ,M,D,,voting,19160315,1874-09-13,1874,1916,42,64083881,0.0,41,5,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0.1,0.0,0.04,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
7345,640055570,MYERS,HENRY,S,MT,M,D,,voting,19160315,1862-10-09,1862,1916,54,64073451,0.0,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9333333333333333,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
7345,640056408,MYERS,HENRY,S,MT,M,D,,voting,19160316,1862-10-09,1862,1916,54,64073451,0.0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
8306,640058326,FREAR,JAMES,H,WI,M,R,10.0,voting,19160317,1861-10-24,1861,1916,55,64083060,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
8173,640058360,LONGWORTH,NICHOLAS,H,OH,M,R,1.0,voting,19160317,1869-11-05,1869,1916,47,64081730,0.0,6,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0.6,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
7608,640065034,LENROOT,IRVINE,H,WI,M,R,11.0,voting,19160323,1869-01-31,1869,1916,47,64076080,0.0,18,2,0,0,0,0,0,0,7,0,2,0,0,0,0,1,0,0,0,0,0,0,0.6,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.23333333333333334,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,30
7492,640065039,SAUNDERS,EDWARD,H,VA,M,D,5.0,voting,19160323,1860-10-20,1860,1916,56,64074920,0.0,26,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8666666666666667,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
7666,640071976,UNDERWOOD,OSCAR,S,AL,M,D,,voting,19160330,1862-05-06,1862,1916,54,64076661,0.0,21,0,0,1,1,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.0,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
7666,640072020,UNDERWOOD,OSCAR,S,AL,M,D,,voting,19160330,1862-05-06,1862,1916,54,64076661,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
7666,640072062,UNDERWOOD,OSCAR,S,AL,M,D,,voting,19160330,1862-05-06,1862,1916,54,64076661,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
8306,640073823,FREAR,JAMES,H,WI,M,R,10.0,voting,19160331,1861-10-24,1861,1916,55,64083060,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,10
7457,640079790,KENYON,WILLIAM,S,IA,M,R,,voting,19160407,1869-06-10,1869,1916,47,64074571,1.35638446743987e-06,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
8710,640079793,SMITH,ELLISON,S,SC,M,D,,voting,19160407,1864-08-01,1864,1916,52,64087101,0.0,8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
7666,640080029,UNDERWOOD,OSCAR,S,AL,M,D,,voting,19160407,1862-05-06,1862,1916,54,64076661,0.0,11,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0.05,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
7666,640080037,UNDERWOOD,OSCAR,S,AL,M,D,,voting,19160407,1862-05-06,1862,1916,54,64076661,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
7200,640080076,HUSTING,PAUL,S,WI,M,D,,voting,19160407,1866-04-25,1866,1916,50,64072001,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
7457,640080944,KENYON,WILLIAM,S,IA,M,R,,voting,19160408,1869-06-10,1869,1916,47,64074571,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
7457,640080957,KENYON,WILLIAM,S,IA,M,R,,voting,19160408,1869-06-10,1869,1916,47,64074571,0.0,39,11,2,3,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0.65,0.18333333333333332,0.03333333333333333,0.05,0.0,0.0,0.0,0.016666666666666666,0.05,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60
8710,640081090,SMITH,ELLISON,S,SC,M,D,,voting,19160408,1864-08-01,1864,1916,52,64087101,0.0,6,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
7176,640084937,CHAMBERLAIN,GEORGE,S,OR,M,D,,voting,19160412,1854-01-01,1854,1916,62,64071761,0.0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
8233,640084947,WALSH,THOMAS,S,MT,M,D,,voting,19160412,1859-06-12,1859,1916,57,64082331,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
8233,640084951,WALSH,THOMAS,S,MT,M,D,,voting,19160412,1859-06-12,1859,1916,57,64082331,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
8233,640084958,WALSH,THOMAS,S,MT,M,D,,voting,19160412,1859-06-12,1859,1916,57,64082331,0.0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
7457,640086259,KENYON,WILLIAM,S,IA,M,R,,voting,19160414,1869-06-10,1869,1916,47,64074571,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
8242,640114938,WOOD,WILLIAM,H,IN,M,R,10.0,voting,19160510,1861-01-05,1861,1916,55,64082420,0.0,1,0,0,2,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.2,0.0,0.5,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
8242,640114941,WOOD,WILLIAM,H,IN,M,R,10.0,voting,19160510,1861-01-05,1861,1916,55,64082420,2.7826844033005e-12,8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
7252,640120640,STONE,WILLIAM,S,MO,M,D,,voting,19160517,1848-05-07,1848,1916,68,64072521,0.0,4,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
8173,640124594,LONGWORTH,NICHOLAS,H,OH,M,R,1.0,voting,19160520,1869-11-05,1869,1916,47,64081730,0.0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
7256,640146821,THOMAS,CHARLES,S,CO,M,D,,voting,19160621,1849-12-06,1849,1916,67,64072561,0.0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
7178,640154221,CLARKE,JAMES,S,AR,M,D,,voting,19160627,1854-08-18,1854,1916,62,64071781,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
8710,650041903,SMITH,ELLISON,S,SC,M,D,,voting,19170521,1864-08-01,1864,1917,53,65087101,0.0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
7495,650055671,SHIELDS,JOHN,S,TN,M,D,,voting,19170608,1858-08-15,1858,1917,59,65074951,0.0,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
7305,650085594,FRANCE,JOSEPH,S,MD,M,R,,voting,19170714,1873-10-11,1873,1917,44,65073051,0.0,5,5,1,0,1,0,2,0,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0.25,0.25,0.05,0.0,0.05,0.0,0.1,0.0,0.1,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,20
7305,650085651,FRANCE,JOSEPH,S,MD,M,R,,voting,19170714,1873-10-11,1873,1917,44,65073051,0.0,3,4,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.3,0.4,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
7305,650085725,FRANCE,JOSEPH,S,MD,M,R,,voting,19170714,1873-10-11,1873,1917,44,65073051,0.0,6,7,0,3,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.3,0.35,0.0,0.15,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
7495,650132648,SHIELDS,JOHN,S,TN,M,D,,voting,19171213,1858-08-15,1858,1917,59,65074951,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
