speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,procedural_prob,cluster_4,cluster_5,cluster_1,cluster_2,cluster_13,cluster_15,cluster_7,cluster_8,cluster_14,cluster_9,cluster_6,cluster_20,cluster_3,cluster_16,cluster_11,cluster_19,cluster_18,cluster_12,cluster_0,cluster_17,cluster_10,cluster_4_p,cluster_5_p,cluster_1_p,cluster_2_p,cluster_13_p,cluster_15_p,cluster_7_p,cluster_8_p,cluster_14_p,cluster_9_p,cluster_6_p,cluster_20_p,cluster_3_p,cluster_16_p,cluster_11_p,cluster_19_p,cluster_18_p,cluster_12_p,cluster_0_p,cluster_17_p,cluster_10_p,n
4574,450056938,COX,JACOB,H,OH,M,R,6.0,voting,18780501,1828-10-27,1828,1878,50,0.0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4623,450057521,LATHROP,WILLIAM,H,IL,M,R,4.0,voting,18780502,1825-04-17,1825,1878,53,0.0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4711,450080932,CONKLING,ROSCOE,S,NY,M,R,,voting,18780611,1829-10-30,1829,1878,49,0.0,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.8888888888888888,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
4711,450080934,CONKLING,ROSCOE,S,NY,M,R,,voting,18780611,1829-10-30,1829,1878,49,9.50113246173214e-16,1,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.7,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5268,460070331,EDMUNDS,GEORGE,S,VT,M,R,,voting,18800324,1828-02-01,1828,1880,52,0.0,0,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.8,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4610,460074520,HILL,BENJAMIN,S,GA,M,D,,voting,18800331,1823-09-14,1823,1880,57,0.0,6,18,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21428571428571427,0.6428571428571429,0.03571428571428571,0.07142857142857142,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28
5175,460074521,LOGAN,JOHN,S,IL,M,R,,voting,18800331,1826-02-09,1826,1880,54,4.198578191742168e-07,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4610,460074522,HILL,BENJAMIN,S,GA,M,D,,voting,18800331,1823-09-14,1823,1880,57,0.0003189697241213,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4807,460086928,ATKINS,JOHN,H,TN,M,D,8.0,voting,18800422,1825-06-04,1825,1880,55,0.0,0,15,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.8333333333333334,0.1111111111111111,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
5325,460150325,REAGAN,JOHN,H,TX,M,D,1.0,voting,18810210,1818-10-08,1818,1881,63,0.0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
5367,460170745,BECK,JAMES,S,KY,M,D,,voting,18810302,1822-02-13,1822,1881,59,0.0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5175,460170787,LOGAN,JOHN,S,IL,M,R,,voting,18810302,1826-02-09,1826,1881,55,0.0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5367,460170844,BECK,JAMES,S,KY,M,D,,voting,18810302,1822-02-13,1822,1881,59,0.0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5360,470062535,ANDERSON,JOHN,H,KS,M,R,1.0,voting,18820508,1834-06-26,1834,1882,48,0.0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4869,470081468,JOYCE,CHARLES,H,VT,M,R,1.0,voting,18820609,1830-01-30,1830,1882,52,0.0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4897,470101830,NEAL,HENRY,H,OH,M,R,11.0,voting,18820710,1828-08-25,1828,1882,54,0.0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5156,470132239,HAMMOND,NATHANIEL,H,GA,M,D,5.0,voting,18821209,1833-12-26,1833,1882,49,3.216335819509199e-07,0,7,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.7,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5024,470132244,KASSON,JOHN,H,IA,M,R,7.0,voting,18821209,1822-01-11,1822,1882,60,1.4908248549876432e-08,2,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.7,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5268,470134740,EDMUNDS,GEORGE,S,VT,M,R,,voting,18821215,1828-02-01,1828,1882,54,0.0,2,3,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.3,0.1,0.1,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6554,470161514,HALE,EUGENE,S,ME,M,R,,voting,18830130,1836-06-09,1836,1883,47,0.0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4883,470189484,MAXEY,SAMUEL,S,TX,M,D,,voting,18830222,1825-03-30,1825,1883,58,2.3297692614159023e-05,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4953,470189485,ANTHONY,HENRY,S,RI,M,R,,voting,18830222,1815-04-01,1815,1883,68,0.0920356640789955,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5355,480043547,HARRISON,BENJAMIN,S,IN,M,R,,voting,18840415,1833-08-20,1833,1884,51,2.198521407972723e-06,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
6327,480043554,HOAR,GEORGE,S,MA,M,R,,voting,18840415,1826-08-29,1826,1884,58,0.0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5697,480060028,BLAIR,HENRY,S,NH,M,R,,voting,18840519,1834-12-06,1834,1884,50,0.0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5665,480088982,TILLMAN,GEORGE,H,SC,M,D,2.0,voting,18840703,1826-08-21,1826,1884,58,0.0,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6196,480137497,COCKRELL,FRANCIS,S,MO,M,D,,voting,18850303,1834-10-01,1834,1885,51,0.0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5164,490023876,INGALLS,JOHN,S,KS,M,R,,voting,18860308,1833-12-29,1833,1886,53,0.1137990946113196,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5449,490107779,MANDERSON,CHARLES,S,NE,M,R,,voting,18860726,1837-02-09,1837,1886,49,0.0,0,0,1,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6327,490156223,HOAR,GEORGE,S,MA,M,R,,voting,18870301,1826-08-29,1826,1887,61,0.0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5779,500003975,HENDERSON,THOMAS,H,IL,M,R,7.0,voting,18880116,1824-11-29,1824,1888,64,0.0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
5426,500006315,GRIMES,THOMAS,H,GA,M,D,4.0,voting,18880124,1844-12-18,1844,1888,44,0.0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5779,500008530,HENDERSON,THOMAS,H,IL,M,R,7.0,voting,18880130,1824-11-29,1824,1888,64,0.0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5490,500030584,ROGERS,JOHN,H,AR,M,D,4.0,voting,18880322,1845-10-09,1845,1888,43,0.0,3,11,2,3,0,0,19,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.075,0.275,0.05,0.075,0.0,0.0,0.475,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,40
5490,500030624,ROGERS,JOHN,H,AR,M,D,4.0,voting,18880322,1845-10-09,1845,1888,43,0.0,0,8,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.4,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
5353,500030644,WILSON,THOMAS,H,MN,M,D,1.0,voting,18880322,1827-05-16,1827,1888,61,0.0,0,0,1,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.05,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
6475,500040751,PLATT,ORVILLE,S,CT,M,R,,voting,18880416,1827-07-19,1827,1888,61,0.0,2,5,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.5,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5662,500059004,TAYLOR,EZRA,H,OH,M,R,19.0,voting,18880529,1823-07-09,1823,1888,65,0.0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5531,500082468,WILSON,JAMES,S,IA,M,R,,voting,18880709,1828-10-19,1828,1888,60,0.0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.6,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6262,500088334,STEWART,WILLIAM,S,NV,M,R,,voting,18880718,1827-08-09,1827,1888,61,0.0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5449,500088347,MANDERSON,CHARLES,S,NE,M,R,,voting,18880718,1837-02-09,1837,1888,51,0.0,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5778,500089192,HENDERSON,JOHN,H,NC,M,D,7.0,voting,18880719,1846-01-06,1846,1888,42,0.0,0,5,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.25,0.05,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
6196,500166343,COCKRELL,FRANCIS,S,MO,M,D,,voting,18890207,1834-10-01,1834,1889,55,0.0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.1,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,10
5550,510004022,BLOUNT,JAMES,H,GA,M,D,6.0,voting,18900108,1837-09-12,1837,1890,53,0.0,7,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6236,510004045,MCCOMAS,LOUIS,H,MD,M,R,6.0,voting,18900108,1846-10-28,1846,1890,44,0.0,1,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5588,510075244,FLOWER,ROSWELL,H,NY,M,D,12.0,voting,18900606,1835-08-07,1835,1890,55,0.0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
7544,510082874,CANNON,JOSEPH,H,IL,M,R,15.0,voting,18900617,1836-05-07,1836,1890,54,0.0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5921,510104084,CULBERSON,DAVID,H,TX,M,D,4.0,voting,18900722,1830-09-29,1830,1890,60,0.0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
7544,510108683,CANNON,JOSEPH,H,IL,M,R,15.0,voting,18900728,1836-05-07,1836,1890,54,0.0,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.5,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5668,510127252,VANCE,ZEBULON,S,NC,M,D,,voting,18900819,1830-05-13,1830,1890,60,0.0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6512,510130595,ALDRICH,NELSON,S,RI,M,R,,voting,18900822,1841-11-06,1841,1890,49,0.0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6196,510150059,COCKRELL,FRANCIS,S,MO,M,D,,voting,18900916,1834-10-01,1834,1890,56,0.0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6196,520011650,COCKRELL,FRANCIS,S,MO,M,D,,voting,18920210,1834-10-01,1834,1892,58,0.0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5449,520026408,MANDERSON,CHARLES,S,NE,M,R,,voting,18920310,1837-02-09,1837,1892,55,0.0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5898,520031474,BOWERS,WILLIAM,H,CA,M,R,6.0,voting,18920321,1834-10-20,1834,1892,58,0.0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6303,520033789,CUMMINGS,AMOS,H,NY,M,D,9.0,voting,18920326,1841-05-15,1841,1892,51,0.0,0,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.8,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5550,520041955,BLOUNT,JAMES,H,GA,M,D,6.0,voting,18920412,1837-09-12,1837,1892,55,0.0,2,4,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.0,0.1,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5538,520103604,SANDERS,WILBUR,S,MT,M,R,,voting,18920728,1834-05-02,1834,1892,58,0.0,3,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
