speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,procedural_prob,cluster_5,cluster_2,cluster_3,cluster_1,cluster_0,cluster_6,cluster_8,cluster_4,cluster_9,cluster_7,cluster_10,cluster_5_p,cluster_2_p,cluster_3_p,cluster_1_p,cluster_0_p,cluster_6_p,cluster_8_p,cluster_4_p,cluster_9_p,cluster_7_p,cluster_10_p,n
5399,440033552,COX,SAMUEL,H,NY,M,D,6.0,voting,18760422,1824-09-30,1824,1876,52,0.0,0,0,0,6,1,3,0,0,0,0,0,0.0,0.0,0.0,0.6,0.1,0.3,0.0,0.0,0.0,0.0,0.0,10
5325,440033555,REAGAN,JOHN,H,TX,M,D,1.0,voting,18760422,1818-10-08,1818,1876,58,0.0,0,0,0,20,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
4865,440036036,JONES,CHARLES,S,FL,M,D,,voting,18760502,1834-12-24,1834,1876,42,0.0,0,0,1,9,0,0,0,0,0,0,0,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5268,440036154,EDMUNDS,GEORGE,S,VT,M,R,,voting,18760502,1828-02-01,1828,1876,48,0.0,0,0,0,10,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5221,440037343,TUCKER,JOHN,H,VA,M,D,6.0,voting,18760508,1823-12-24,1823,1876,53,0.0,0,0,0,10,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5164,440045737,INGALLS,JOHN,S,KS,M,R,,voting,18760608,1833-12-29,1833,1876,43,1.8264169902307508e-20,0,0,0,8,0,1,0,1,0,0,0,0.0,0.0,0.0,0.8,0.0,0.1,0.0,0.1,0.0,0.0,0.0,10
4947,440049036,WOOD,FERNANDO,H,NY,M,D,9.0,voting,18760619,1812-06-14,1812,1876,64,0.0,1,0,1,8,0,0,0,0,0,0,0,0.1,0.0,0.1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5325,440051567,REAGAN,JOHN,H,TX,M,D,1.0,voting,18760622,1818-10-08,1818,1876,58,0.0,0,0,0,9,1,0,0,0,0,0,0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
6196,440054139,COCKRELL,FRANCIS,S,MO,M,D,,voting,18760626,1834-10-01,1834,1876,42,0.0,0,0,0,10,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4671,440056258,WALSH,WILLIAM,H,MD,M,D,6.0,voting,18760629,1828-05-11,1828,1876,48,0.0,0,0,0,17,2,0,0,1,0,0,0,0.0,0.0,0.0,0.85,0.1,0.0,0.0,0.05,0.0,0.0,0.0,20
4800,440057810,GARFIELD,JAMES,H,OH,M,R,19.0,voting,18760701,1831-11-19,1831,1876,45,0.0,1,0,7,1,0,0,0,0,0,0,0,0.1111111111111111,0.0,0.7777777777777778,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
4162,440059557,MORRILL,LOT,S,ME,M,R,,voting,18760707,1813-05-03,1813,1876,63,0.0,0,1,0,5,1,1,1,1,0,0,0,0.0,0.1,0.0,0.5,0.1,0.1,0.1,0.1,0.0,0.0,0.0,10
6361,440064209,PATTERSON,THOMAS,H,CO,M,D,-1.0,nonvoting,18760718,1839-11-04,1839,1876,37,0.0,0,0,0,18,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
5268,440066965,EDMUNDS,GEORGE,S,VT,M,R,,voting,18760722,1828-02-01,1828,1876,48,0.0,0,0,0,10,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4800,440086369,GARFIELD,JAMES,H,OH,M,R,19.0,voting,18761221,1831-11-19,1831,1876,45,0.0,0,0,0,9,0,0,1,0,0,0,0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.0,0.0,10
4635,440087501,PHILLIPS,WILLIAM,H,KS,M,R,1.0,voting,18770104,1824-01-14,1824,1877,53,0.0,0,0,3,2,1,4,0,0,0,0,0,0.0,0.0,0.3,0.2,0.1,0.4,0.0,0.0,0.0,0.0,0.0,10
5325,440089133,REAGAN,JOHN,H,TX,M,D,1.0,voting,18770110,1818-10-08,1818,1877,59,0.0,0,0,0,10,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4840,440089576,FINLEY,JESSE,H,FL,M,D,2.0,voting,18770111,1812-11-18,1812,1877,65,0.0,2,1,1,1,1,4,0,0,0,0,0,0.2,0.1,0.1,0.1,0.1,0.4,0.0,0.0,0.0,0.0,0.0,10
5164,440090203,INGALLS,JOHN,S,KS,M,R,,voting,18770115,1833-12-29,1833,1877,44,0.0,0,0,0,10,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6554,440092475,HALE,EUGENE,H,ME,M,R,5.0,voting,18770122,1836-06-09,1836,1877,41,0.0,0,0,0,10,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5207,440093702,SINGLETON,OTHO,H,MS,M,D,4.0,voting,18770126,1814-10-14,1814,1877,63,0.0,0,0,0,0,1,1,0,6,0,0,0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.75,0.0,0.0,0.0,8
5363,440098819,BANKS,NATHANIEL,H,MA,M,I,5.0,voting,18770207,1816-01-30,1816,1877,61,0.0,1,0,1,8,0,0,0,0,0,0,0,0.1,0.0,0.1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4635,440107634,PHILLIPS,WILLIAM,H,KS,M,R,1.0,voting,18770224,1824-01-14,1824,1877,53,0.0,0,0,0,10,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5164,440108515,INGALLS,JOHN,S,KS,M,R,,voting,18770227,1833-12-29,1833,1877,44,0.0,0,1,0,8,0,1,0,0,0,0,0,0.0,0.1,0.0,0.8,0.0,0.1,0.0,0.0,0.0,0.0,0.0,10
4801,440111612,WINDOM,WILLIAM,S,MN,M,R,,voting,18770302,1827-05-10,1827,1877,50,0.0,0,0,0,10,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4546,440114020,BLAINE,JAMES,S,ME,M,R,,voting,18770303,1830-01-31,1830,1877,47,0.0,0,0,0,9,0,1,0,0,0,0,0,0.0,0.0,0.0,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,10
4591,440114355,FOSTER,CHARLES,H,OH,M,R,10.0,voting,18770303,1828-04-12,1828,1877,49,0.0,0,0,0,9,0,1,0,0,0,0,0,0.0,0.0,0.0,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,10
5325,450017896,REAGAN,JOHN,H,TX,M,D,1.0,voting,18780124,1818-10-08,1818,1878,60,0.0380453694703479,0,0,0,10,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5325,450018019,REAGAN,JOHN,H,TX,M,D,1.0,voting,18780124,1818-10-08,1818,1878,60,0.0,0,0,0,20,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
4831,450018876,DEERING,NATHANIEL,H,IA,M,R,4.0,voting,18780126,1827-09-02,1827,1878,51,0.0,0,0,0,9,1,0,0,0,0,0,0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
4602,450028233,HANNA,JOHN,H,IN,M,R,7.0,voting,18780221,1827-09-03,1827,1878,51,0.0,0,0,0,10,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6352,450039216,MORGAN,JOHN,S,AL,M,D,,voting,18780322,1824-06-20,1824,1878,54,0.0,0,0,0,10,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4617,450047923,JONES,JOHN,H,OH,M,R,9.0,voting,18780415,1836-02-12,1836,1878,42,0.0,0,0,0,10,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4547,450049491,CHAFFEE,JEROME,S,CO,M,R,,voting,18780417,1825-04-17,1825,1878,53,0.0,0,0,0,10,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5041,450053333,MULDROW,HENRY,H,MS,M,D,1.0,voting,18780424,1837-02-08,1837,1878,41,0.0,0,0,0,10,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4786,450053335,STEELE,WALTER,H,NC,M,D,6.0,voting,18780424,1823-04-18,1823,1878,55,0.0,0,0,2,7,1,0,0,0,0,0,0,0.0,0.0,0.2,0.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
4520,450066236,THURMAN,ALLEN,S,OH,M,D,,voting,18780521,1813-11-13,1813,1878,65,0.0,0,2,0,6,0,2,0,0,0,0,0,0.0,0.2,0.0,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,10
6554,450068100,HALE,EUGENE,H,ME,M,R,5.0,voting,18780523,1836-06-09,1836,1878,42,0.0,0,0,1,3,1,1,1,0,0,0,0,0.0,0.0,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,7
4637,450095710,POTTER,CLARKSON,H,NY,M,D,12.0,voting,18781211,1825-04-25,1825,1878,53,0.0,0,0,0,9,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
4889,450096968,MCMILLAN,SAMUEL,S,MN,M,R,,voting,18781216,1826-02-22,1826,1878,52,0.0,0,0,0,9,1,0,0,0,0,0,0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
5670,450100665,VOORHEES,DANIEL,S,IN,M,D,,voting,18790116,1827-09-26,1827,1879,52,0.0,0,0,1,8,0,1,0,0,0,0,0,0.0,0.0,0.1,0.8,0.0,0.1,0.0,0.0,0.0,0.0,0.0,10
5268,450107315,EDMUNDS,GEORGE,S,VT,M,R,,voting,18790204,1828-02-01,1828,1879,51,0.0,0,0,0,8,2,0,0,0,0,0,0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,10
4947,450109196,WOOD,FERNANDO,H,NY,M,D,9.0,voting,18790206,1812-06-14,1812,1879,67,0.0,0,0,0,8,0,2,0,0,0,0,0,0.0,0.0,0.0,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,10
4302,450110474,MCCREERY,THOMAS,S,KY,M,D,,voting,18790210,1816-12-12,1816,1879,63,0.0,1,0,0,9,0,0,0,0,0,0,0,0.1,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6554,450111096,HALE,EUGENE,H,ME,M,R,5.0,voting,18790211,1836-06-09,1836,1879,43,0.0,0,1,0,8,0,0,0,1,0,0,0,0.0,0.1,0.0,0.8,0.0,0.0,0.0,0.1,0.0,0.0,0.0,10
4408,450112094,BOOTH,NEWTON,S,CA,M,R,,voting,18790213,1825-12-30,1825,1879,54,0.0,0,0,0,1,1,0,0,8,0,0,0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.8,0.0,0.0,0.0,10
4711,450119662,CONKLING,ROSCOE,S,NY,M,R,,voting,18790222,1829-10-30,1829,1879,50,0.0,0,0,0,7,0,2,0,0,0,0,0,0.0,0.0,0.0,0.7777777777777778,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,9
5164,450124539,INGALLS,JOHN,S,KS,M,R,,voting,18790227,1833-12-29,1833,1879,46,0.0,0,1,0,9,0,0,0,0,0,0,0,0.0,0.1,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4460,450124540,KERNAN,FRANCIS,S,NY,M,D,,voting,18790227,1816-01-14,1816,1879,63,0.0,0,0,0,9,0,0,0,1,0,0,0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.1,0.0,0.0,0.0,10
4947,450131026,WOOD,FERNANDO,H,NY,M,D,9.0,voting,18790301,1812-06-14,1812,1879,67,0.0,0,0,0,8,1,0,1,0,0,0,0,0.0,0.0,0.0,0.8,0.1,0.0,0.1,0.0,0.0,0.0,0.0,10
5325,460001596,REAGAN,JOHN,H,TX,M,D,1.0,voting,18790327,1818-10-08,1818,1879,61,0.0,0,0,0,20,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
4771,460001676,PRICE,HIRAM,H,IA,M,R,2.0,voting,18790327,1814-01-10,1814,1879,65,0.0,0,0,0,10,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4822,460007503,CONGER,OMAR,H,MI,M,R,7.0,voting,18790416,1818-04-01,1818,1879,61,0.0,0,0,0,10,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4842,460008840,FORD,NICHOLAS,H,MO,M,N,9.0,voting,18790421,1833-06-21,1833,1879,46,0.0,0,2,0,5,0,2,0,1,0,0,0,0.0,0.2,0.0,0.5,0.0,0.2,0.0,0.1,0.0,0.0,0.0,10
5146,460009226,GEDDES,GEORGE,H,OH,M,D,15.0,voting,18790422,1824-07-16,1824,1879,55,0.0,0,1,0,9,0,0,0,0,0,0,0,0.0,0.1,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6125,460011143,MORRILL,JUSTIN,S,VT,M,R,,voting,18790428,1810-04-14,1810,1879,69,0.0,0,0,0,20,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
4822,460011900,CONGER,OMAR,H,MI,M,R,7.0,voting,18790501,1818-04-01,1818,1879,61,0.0,0,0,0,10,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5434,460012299,KELLEY,WILLIAM,H,PA,M,R,4.0,voting,18790503,1814-04-12,1814,1879,65,0.0,0,0,0,10,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4546,460026588,BLAINE,JAMES,S,ME,M,R,,voting,18790605,1830-01-31,1830,1879,49,0.0,0,0,0,8,2,0,0,0,0,0,0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,10
6403,460032467,ALLISON,WILLIAM,S,IA,M,R,,voting,18790617,1829-03-02,1829,1879,50,0.0,0,0,0,9,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
5325,460043807,REAGAN,JOHN,H,TX,M,D,1.0,voting,18791210,1818-10-08,1818,1879,61,0.0,0,0,0,10,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4684,460044111,ACKLEN,JOSEPH,H,LA,M,D,3.0,voting,18791211,1850-05-20,1850,1879,29,0.0,0,0,0,19,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
4947,460044115,WOOD,FERNANDO,H,NY,M,D,9.0,voting,18791211,1812-06-14,1812,1879,67,0.0,0,0,0,10,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4797,460048066,WRIGHT,HENDRICK,H,PA,M,N,12.0,voting,18800115,1808-04-24,1808,1880,72,0.0,0,1,1,3,2,0,1,2,0,0,0,0.0,0.1,0.1,0.3,0.2,0.0,0.1,0.2,0.0,0.0,0.0,10
4942,460049190,WILLIAMS,CHARLES,H,WI,M,R,1.0,voting,18800120,1829-10-18,1829,1880,51,0.0,0,0,0,10,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4920,460051157,SHALLENBERGER,WILLIAM,H,PA,M,R,24.0,voting,18800129,1839-11-24,1839,1880,41,0.0,0,0,1,9,0,0,0,0,0,0,0,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5207,460066778,SINGLETON,OTHO,H,MS,M,D,4.0,voting,18800316,1814-10-14,1814,1880,66,0.0,0,0,0,9,0,0,1,0,0,0,0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.0,0.0,10
5670,460086582,VOORHEES,DANIEL,S,IN,M,D,,voting,18800422,1827-09-26,1827,1880,53,0.0,0,1,0,9,0,0,0,0,0,0,0,0.0,0.1,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
