speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,procedural_prob,cluster_0,cluster_8,cluster_4,cluster_5,cluster_12,cluster_6,cluster_2,cluster_11,cluster_7,cluster_9,cluster_3,cluster_10,cluster_1,cluster_0_p,cluster_8_p,cluster_4_p,cluster_5_p,cluster_12_p,cluster_6_p,cluster_2_p,cluster_11_p,cluster_7_p,cluster_9_p,cluster_3_p,cluster_10_p,cluster_1_p,n
4375,430051272,THOMAS,CHRISTOPHER,H,VA,M,R,5.0,voting,18740508,1818-03-24,1818,1874,56,0.0,4,1,0,1,1,2,1,0,0,0,0,0,0,0.4,0.1,0.0,0.1,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
6184,430064509,BLAND,RICHARD,H,MO,M,D,5.0,voting,18740604,1835-08-19,1835,1874,39,0.0,0,9,0,0,0,0,0,0,1,0,0,0,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,10
4476,430065105,MCCRARY,GEORGE,H,IA,M,R,1.0,voting,18740605,1835-08-29,1835,1874,39,0.0,1,1,0,0,0,0,8,0,0,0,0,0,0,0.1,0.1,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,10
4340,430067044,ROBINSON,JAMES,H,IL,M,D,12.0,voting,18740609,1823-08-19,1823,1874,51,0.0,0,1,0,5,0,0,4,0,0,0,0,0,0,0.0,0.1,0.0,0.5,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,10
3979,430084270,HAMILTON,WILLIAM,S,MD,M,D,,voting,18750107,1820-09-08,1820,1875,55,0.0,0,4,1,0,0,0,3,0,2,0,0,0,0,0.0,0.4,0.1,0.0,0.0,0.0,0.3,0.0,0.2,0.0,0.0,0.0,0.0,10
4368,430090420,STANARD,EDWIN,H,MO,M,R,1.0,voting,18750125,1832-01-05,1832,1875,43,0.0,20,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
4239,430093946,COBB,STEPHEN,H,KS,M,R,-1.0,voting,18750201,1833-06-17,1833,1875,42,0.0,0,1,0,2,0,0,7,0,0,0,0,0,0,0.0,0.1,0.0,0.2,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,10
4162,430094652,MORRILL,LOT,S,ME,M,R,,voting,18750202,1813-05-03,1813,1875,62,0.0,3,5,0,0,0,1,0,1,0,0,0,0,0,0.3,0.5,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,10
4342,430097126,SARGENT,AARON,S,CA,M,R,,voting,18750208,1827-09-28,1827,1875,48,2.1983488671241813e-15,9,1,0,0,0,0,0,0,0,0,0,0,0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4368,430102526,STANARD,EDWIN,H,MO,M,R,1.0,voting,18750218,1832-01-05,1832,1875,43,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4162,430112577,MORRILL,LOT,S,ME,M,R,,voting,18750301,1813-05-03,1813,1875,62,0.0,4,5,1,0,0,0,0,0,0,0,0,0,0,0.4,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4364,430118122,SPEER,ROBERT,H,PA,M,D,17.0,voting,18750303,1838-09-08,1838,1875,37,0.0022805347639046,0,1,0,0,0,9,0,0,0,0,0,0,0,0.0,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5069,440001033,SAULSBURY,ELI,S,DE,M,D,,voting,18750320,1817-12-29,1817,1875,58,0.0,2,1,0,0,0,2,5,0,0,0,0,0,0,0.2,0.1,0.0,0.0,0.0,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,10
4314,440002245,MORTON,OLIVER,S,IN,M,R,,voting,18751216,1823-08-04,1823,1875,52,0.0,1,2,0,0,0,1,5,1,0,0,0,0,0,0.1,0.2,0.0,0.0,0.0,0.1,0.5,0.1,0.0,0.0,0.0,0.0,0.0,10
4663,440003378,THORNBURGH,JACOB,H,TN,M,R,2.0,voting,18760111,1837-07-03,1837,1876,39,0.0,0,2,0,0,0,8,0,0,0,0,0,0,0,0.0,0.2,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5014,440005179,HOPKINS,JAMES,H,PA,M,D,22.0,voting,18760118,1832-11-03,1832,1876,44,0.0,1,2,0,0,0,2,4,1,0,0,0,0,0,0.1,0.2,0.0,0.0,0.0,0.2,0.4,0.1,0.0,0.0,0.0,0.0,0.0,10
4225,440006670,BOGY,LEWIS,S,MO,M,D,,voting,18760126,1813-04-09,1813,1876,63,0.0,9,0,0,0,0,0,0,0,1,0,0,0,0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,10
4225,440012617,BOGY,LEWIS,S,MO,M,D,,voting,18760217,1813-04-09,1813,1876,63,0.0,7,1,0,1,0,0,1,0,0,0,0,0,0,0.7,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
4226,440014456,BOUTWELL,GEORGE,S,MA,M,R,,voting,18760224,1818-01-28,1818,1876,58,0.0,0,0,0,0,0,0,10,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4314,440018228,MORTON,OLIVER,S,IN,M,R,,voting,18760308,1823-08-04,1823,1876,53,0.0,2,3,0,2,0,1,1,1,0,0,0,0,0,0.2,0.3,0.0,0.2,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,10
5841,440023643,SHERMAN,JOHN,S,OH,M,R,,voting,18760328,1823-05-10,1823,1876,53,0.0,0,5,0,3,0,0,0,0,1,1,0,0,0,0.0,0.5,0.0,0.3,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,10
6554,440025624,HALE,EUGENE,H,ME,M,R,5.0,voting,18760401,1836-06-09,1836,1876,40,0.0,7,1,0,0,0,0,2,0,0,0,0,0,0,0.7,0.1,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,10
4903,440032718,PAGE,HORACE,H,CA,M,R,2.0,voting,18760419,1833-10-20,1833,1876,43,0.0,0,3,0,2,0,2,1,0,2,0,0,0,0,0.0,0.3,0.0,0.2,0.0,0.2,0.1,0.0,0.2,0.0,0.0,0.0,0.0,10
5697,440043920,BLAIR,HENRY,H,NH,M,R,3.0,voting,18760605,1834-12-06,1834,1876,42,0.0,0,0,0,8,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.8,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
6093,440048046,HOLMAN,WILLIAM,H,IN,M,D,5.0,voting,18760616,1822-09-06,1822,1876,54,0.0,9,0,0,1,0,0,0,0,0,0,0,0,0,0.9,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4162,440049871,MORRILL,LOT,S,ME,M,R,,voting,18760621,1813-05-03,1813,1876,63,0.0,0,4,1,0,0,0,0,1,4,0,0,0,0,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.1,0.4,0.0,0.0,0.0,0.0,10
4591,440051514,FOSTER,CHARLES,H,OH,M,R,10.0,voting,18760622,1828-04-12,1828,1876,48,1.4581410495215724e-09,0,2,0,1,0,7,0,0,0,0,0,0,0,0.0,0.2,0.0,0.1,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5268,440066453,EDMUNDS,GEORGE,S,VT,M,R,,voting,18760722,1828-02-01,1828,1876,48,0.0,0,2,1,2,0,0,5,0,0,0,0,0,0,0.0,0.2,0.1,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,10
5841,440066591,SHERMAN,JOHN,S,OH,M,R,,voting,18760722,1823-05-10,1823,1876,53,0.0,1,5,0,2,1,0,1,0,0,0,0,0,0,0.1,0.5,0.0,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
4711,440069415,CONKLING,ROSCOE,S,NY,M,R,,voting,18760801,1829-10-30,1829,1876,47,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4320,440070204,OGLESBY,RICHARD,S,IL,M,R,,voting,18760802,1824-07-25,1824,1876,52,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5186,440075444,MORRISON,WILLIAM,H,IL,M,D,17.0,voting,18760809,1824-09-14,1824,1876,52,0.0,7,0,0,3,0,0,0,0,0,0,0,0,0,0.7,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5164,440077669,INGALLS,JOHN,S,KS,M,R,,voting,18760812,1833-12-29,1833,1876,43,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4463,440085045,KEY,DAVID,S,TN,M,D,,voting,18761218,1824-01-27,1824,1876,52,0.0,0,0,0,0,0,0,10,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4515,440092165,TARBOX,JOHN,H,MA,M,D,7.0,voting,18770120,1838-05-06,1838,1877,39,0.0,1,3,0,1,0,5,0,0,0,0,0,0,0,0.1,0.3,0.0,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4700,440093105,BRIGHT,JOHN,H,TN,M,D,5.0,voting,18770124,1817-01-20,1817,1877,60,0.0,0,1,0,1,0,0,1,0,0,7,0,0,0,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.7,0.0,0.0,0.0,10
4538,440093482,WILLARD,GEORGE,H,MI,M,R,3.0,voting,18770125,1824-03-20,1824,1877,53,0.0,0,2,1,1,0,2,4,0,0,0,0,0,0,0.0,0.2,0.1,0.1,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,10
4422,440093714,CARR,NATHAN,H,IN,M,D,3.0,voting,18770126,1833-12-25,1833,1877,44,0.0,0,6,0,0,0,0,4,0,0,0,0,0,0,0.0,0.6,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,10
4947,440103987,WOOD,FERNANDO,H,NY,M,D,9.0,voting,18770220,1812-06-14,1812,1877,65,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4944,440104099,WILSON,BENJAMIN,H,WV,M,D,1.0,voting,18770220,1825-04-30,1825,1877,52,0.0,1,0,0,6,0,1,2,0,0,0,0,0,0,0.1,0.0,0.0,0.6,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,10
5041,450005556,MULDROW,HENRY,H,MS,M,D,1.0,voting,18771116,1837-02-08,1837,1877,40,0.0,0,3,0,7,0,0,0,0,0,0,0,0,0,0.0,0.3,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5264,450013113,DAWES,HENRY,S,MA,M,R,,voting,18771213,1816-10-30,1816,1877,61,0.0,0,6,0,0,0,1,3,0,0,0,0,0,0,0.0,0.6,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,10
5268,450026770,EDMUNDS,GEORGE,S,VT,M,R,,voting,18780219,1828-02-01,1828,1878,50,0.0,2,2,0,1,0,1,4,0,0,0,0,0,0,0.2,0.2,0.0,0.1,0.0,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,10
4786,450028293,STEELE,WALTER,H,NC,M,D,6.0,voting,18780221,1823-04-18,1823,1878,55,0.0,0,1,2,0,0,0,7,0,0,0,0,0,0,0.0,0.1,0.2,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,10
5010,450041763,HEWITT,GOLDSMITH,H,AL,M,D,6.0,voting,18780401,1834-02-14,1834,1878,44,0.0,6,1,0,1,0,1,1,0,0,0,0,0,0,0.6,0.1,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
5325,450060163,REAGAN,JOHN,H,TX,M,D,1.0,voting,18780507,1818-10-08,1818,1878,60,0.0,0,0,1,8,0,0,0,0,1,0,0,0,0,0.0,0.0,0.1,0.8,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,10
4603,450066534,HARRISON,CARTER,H,IL,M,D,2.0,voting,18780521,1825-02-15,1825,1878,53,0.0,0,1,0,0,0,3,6,0,0,0,0,0,0,0.0,0.1,0.0,0.0,0.0,0.3,0.6,0.0,0.0,0.0,0.0,0.0,0.0,10
4969,450066541,CALKINS,WILLIAM,H,IN,M,R,10.0,voting,18780521,1842-02-18,1842,1878,36,0.0,0,9,0,0,0,1,0,0,0,0,0,0,0,0.0,0.9,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4647,450074005,ROBERTS,CHARLES,H,MD,M,D,2.0,voting,18780603,1842-04-19,1842,1878,36,0.0,0,0,0,0,0,0,10,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5605,450077007,HERBERT,HILARY,H,AL,M,D,2.0,voting,18780606,1834-03-12,1834,1878,44,0.0,6,3,0,1,0,0,0,0,0,0,0,0,0,0.6,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4311,450077406,MERRIMON,AUGUSTUS,S,NC,M,D,,voting,18780607,1830-09-15,1830,1878,48,0.0,0,2,1,0,0,7,0,0,0,0,0,0,0,0.0,0.2,0.1,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6196,450093509,COCKRELL,FRANCIS,S,MO,M,D,,voting,18780619,1834-10-01,1834,1878,44,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4557,450103443,BELL,HIRAM,H,GA,M,D,9.0,voting,18790123,1827-01-19,1827,1879,52,0.0,2,6,0,0,0,2,0,0,0,0,0,0,0,0.2,0.6,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4669,450103603,WADDELL,ALFRED,H,NC,M,D,3.0,voting,18790123,1834-09-16,1834,1879,45,0.0,0,2,0,1,0,0,7,0,0,0,0,0,0,0.0,0.2,0.0,0.1,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,10
4342,450112090,SARGENT,AARON,S,CA,M,R,,voting,18790213,1827-09-28,1827,1879,52,0.0,0,9,0,0,0,1,0,0,0,0,0,0,0,0.0,0.9,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4629,450112665,MATTHEWS,STANLEY,S,OH,M,R,,voting,18790214,1824-07-21,1824,1879,55,7.393909590828561e-15,0,2,0,1,0,7,0,0,0,0,0,0,0,0.0,0.2,0.0,0.1,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4687,450116438,BAKER,JOHN,H,IN,M,R,13.0,voting,18790218,1832-02-28,1832,1879,47,0.0,0,0,0,0,10,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6327,450132841,HOAR,GEORGE,S,MA,M,R,,voting,18790303,1826-08-29,1826,1879,53,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6527,460008210,BURROWS,JULIUS,H,MI,M,R,4.0,voting,18790418,1837-01-09,1837,1879,42,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4721,460010392,ELAM,JOSEPH,H,LA,M,D,4.0,voting,18790424,1821-06-12,1821,1879,58,0.0,8,2,0,0,0,0,0,0,0,0,0,0,0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4744,460011641,JONAS,BENJAMIN,S,LA,M,D,,voting,18790501,1834-07-19,1834,1879,45,0.0,0,1,0,0,0,0,9,0,0,0,0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,10
5268,460014456,EDMUNDS,GEORGE,S,VT,M,R,,voting,18790509,1828-02-01,1828,1879,51,0.0,0,4,1,0,0,3,2,0,0,0,0,0,0,0.0,0.4,0.1,0.0,0.0,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,10
5566,460020144,CALL,WILKINSON,S,FL,M,D,,voting,18790522,1834-01-09,1834,1879,45,0.0,9,0,0,1,0,0,0,0,0,0,0,0,0,0.9,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4542,460035831,WITHERS,ROBERT,S,VA,M,D,,voting,18790619,1821-09-18,1821,1879,58,0.0,0,3,0,0,0,7,0,0,0,0,0,0,0,0.0,0.3,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4716,460055421,DE LA MATYR,GILBERT,H,IN,M,N,7.0,voting,18800214,1825-07-08,1825,1880,55,0.0,0,0,1,0,0,0,9,0,0,0,0,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,10
4553,460087352,BAILEY,JAMES,S,TN,M,D,,voting,18800423,1822-08-15,1822,1880,58,0.0,0,2,0,0,0,0,8,0,0,0,0,0,0,0.0,0.2,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,10
4818,460096432,CARPENTER,CYRUS,H,IA,M,R,9.0,voting,18800510,1829-11-24,1829,1880,51,0.0,0,4,0,1,0,1,2,1,1,0,0,0,0,0.0,0.4,0.0,0.1,0.0,0.1,0.2,0.1,0.1,0.0,0.0,0.0,0.0,10
5268,460108150,EDMUNDS,GEORGE,S,VT,M,R,,voting,18800526,1828-02-01,1828,1880,52,0.0,2,5,1,0,0,1,1,0,0,0,0,0,0,0.2,0.5,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
6159,460138889,VEST,GEORGE,S,MO,M,D,,voting,18810120,1830-12-06,1830,1881,51,0.0,0,3,0,0,0,7,0,0,0,0,0,0,0,0.0,0.3,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4896,460152501,MURCH,THOMPSON,H,ME,M,N,5.0,voting,18810212,1838-03-29,1838,1881,43,0.0,8,0,0,1,1,0,0,0,0,0,0,0,0,0.8,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5102,460159268,YOUNG,HIRAM,H,TN,M,D,10.0,voting,18810221,1828-12-14,1828,1881,53,0.0,0,0,0,7,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,10
6159,470012633,VEST,GEORGE,S,MO,M,D,,voting,18820111,1830-12-06,1830,1882,52,0.0,0,1,0,1,0,8,0,0,0,0,0,0,0,0.0,0.1,0.0,0.1,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6159,470012995,VEST,GEORGE,S,MO,M,D,,voting,18820112,1830-12-06,1830,1882,52,0.0,2,2,0,2,0,4,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4822,470034924,CONGER,OMAR,S,MI,M,R,,voting,18820310,1818-04-01,1818,1882,64,0.0,4,1,0,3,0,1,1,0,0,0,0,0,0,0.4,0.1,0.0,0.3,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
4744,470049814,JONAS,BENJAMIN,S,LA,M,D,,voting,18820411,1834-07-19,1834,1882,48,0.0,0,1,0,0,0,9,0,0,0,0,0,0,0,0.0,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4889,470061211,MCMILLAN,SAMUEL,S,MN,M,R,,voting,18820505,1826-02-22,1826,1882,56,0.0,0,9,0,0,0,0,1,0,0,0,0,0,0,0.0,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
5697,470083843,BLAIR,HENRY,S,NH,M,R,,voting,18820613,1834-12-06,1834,1882,48,0.0,1,2,0,1,0,2,2,0,2,0,0,0,0,0.1,0.2,0.0,0.1,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,10
4822,470100695,CONGER,OMAR,S,MI,M,R,,voting,18820708,1818-04-01,1818,1882,64,0.0,6,1,0,0,0,3,0,0,0,0,0,0,0,0.6,0.1,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5380,470102051,BUTTERWORTH,BENJAMIN,H,OH,M,R,1.0,voting,18820710,1837-10-22,1837,1882,45,0.0,0,0,0,0,0,0,10,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6220,470126597,HAWLEY,JOSEPH,S,CT,M,R,,voting,18820805,1826-10-31,1826,1882,56,0.0,8,0,0,0,1,0,0,0,1,0,0,0,0,0.8,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,10
6327,470130185,HOAR,GEORGE,S,MA,M,R,,voting,18821206,1826-08-29,1826,1882,56,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5268,470146695,EDMUNDS,GEORGE,S,VT,M,R,,voting,18830108,1828-02-01,1828,1883,55,0.0,1,7,0,0,0,2,0,0,0,0,0,0,0,0.1,0.7,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5482,470193974,PLUMB,PRESTON,S,KS,M,R,,voting,18830226,1837-10-12,1837,1883,46,0.0,0,3,0,0,0,0,6,0,1,0,0,0,0,0.0,0.3,0.0,0.0,0.0,0.0,0.6,0.0,0.1,0.0,0.0,0.0,0.0,10
5341,470200133,THOMAS,JOHN,H,IL,M,R,18.0,voting,18830301,1846-10-11,1846,1883,37,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5062,470200387,ROBINSON,GEORGE,H,MA,M,R,11.0,voting,18830301,1834-01-20,1834,1883,49,0.0,1,9,0,0,0,0,0,0,0,0,0,0,0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
